CFN Alias,Tag Policies Alias,Terraform Resource Type
AWS::AccessAnalyzer::Analyzer,access-analyzer:analyzer,aws_accessanalyzer_analyzer
AWS::CertificateManager::Certificate,acm:certificate,aws_acm_certificate
AWS::ACMPCA::CertificateAuthority,acm-pca:certificate-authority,aws_acmpca_certificate_authority
AWS::MWAA::Environment,airflow:environment,aws_mwaa_environment
AWS::Amplify::App,amplify:apps,aws_amplify_app
AWS::OpenSearchServerless::Collection,aoss:collection,aws_opensearchserverless_collection
AWS::AppIntegrations::DataIntegration,app-integrations:data-integration,aws_appintegrations_data_integration
AWS::AppIntegrations::EventIntegration,app-integrations:event-integration,aws_appintegrations_event_integration
AWS::AppIntegrations::Application,app-integrations:application,
AWS::AppConfig::DeploymentStrategy,appconfig:deploymentstrategy,aws_appconfig_deployment_strategy
AWS::AppConfig::ExtensionAssociation,appconfig:extensionassociation,aws_appconfig_extension_association
AWS::AppConfig::Application,appconfig:application,aws_appconfig_application
AWS::AppConfig::Extension,appconfig:extension,aws_appconfig_extension
AWS::AppConfig::Environment,appconfig:application/environment,aws_appconfig_environment
AWS::AppConfig::ConfigurationProfile,appconfig:application/configurationprofile,aws_appconfig_configuration_profile
AWS::AppFlow::Flow,appflow:flow,aws_appflow_flow
AWS::ApplicationSignals::ServiceLevelObjective,application-signals:slo,
AWS::ApplicationInsights::Application,applicationinsights:application,aws_applicationinsights_application
AWS::AppMesh::VirtualGateway,appmesh:mesh/virtualGateway,aws_appmesh_virtual_gateway
AWS::AppMesh::VirtualService,appmesh:mesh/virtualService,aws_appmesh_virtual_service
AWS::AppMesh::VirtualRouter,appmesh:mesh/virtualRouter,aws_appmesh_virtual_router
AWS::AppMesh::GatewayRoute,appmesh:mesh/virtualGateway/gatewayRoute,aws_appmesh_gateway_route
AWS::AppMesh::Route,appmesh:mesh/virtualRouter/route,aws_appmesh_route
AWS::AppMesh::Mesh,appmesh:mesh,aws_appmesh_mesh
AWS::AppMesh::VirtualNode,appmesh:mesh/virtualNode,aws_appmesh_virtual_node
AWS::AppRunner::VpcIngressConnection,apprunner:vpcingressconnection,aws_apprunner_vpc_ingress_connection
AWS::AppRunner::Service,apprunner:service,aws_apprunner_service
AWS::AppRunner::ObservabilityConfiguration,apprunner:observabilityconfiguration,aws_apprunner_observability_configuration
AWS::AppRunner::AutoScalingConfiguration,apprunner:autoscalingconfiguration,aws_apprunner_auto_scaling_configuration_version
AWS::AppRunner::VpcConnector,apprunner:vpcconnector,aws_apprunner_vpc_connector
AWS::AppStream::ImageBuilder,appstream:image-builder,aws_appstream_image_builder
AWS::AppStream::Fleet,appstream:fleet,aws_appstream_fleet
AWS::AppStream::AppBlock,appstream:app-block,
AWS::AppStream::Stack,appstream:stack,aws_appstream_stack
AWS::AppStream::Application,appstream:application,
AWS::AppTest::TestCase,apptest:testcase,
AWS::APS::Workspace,aps:workspace,
AWS::APS::RuleGroupsNamespace,aps:rulegroupsnamespace,
AWS::Athena::WorkGroup,athena:workgroup,aws_athena_workgroup
AWS::Athena::CapacityReservation,athena:capacity-reservation,aws_athena_capacity_reservation
AWS::Athena::DataCatalog,athena:datacatalog,aws_athena_data_catalog
AWS::AuditManager::Assessment,auditmanager:assessment,aws_auditmanager_assessment
AWS::B2BI::Capability,b2bi:capability,
AWS::B2BI::Profile,b2bi:profile,
AWS::B2BI::Partnership,b2bi:partnership,
AWS::B2BI::Transformer,b2bi:transformer,
AWS::Backup::RestoreTestingPlan,backup:restore-testing-plan,aws_backup_restore_testing_plan
AWS::Backup::Framework,backup:framework,aws_backup_framework
AWS::Backup::ReportPlan,backup:report-plan,aws_backup_report_plan
AWS::Backup::BackupPlan,backup:backup-plan,aws_backup_plan
AWS::BackupGateway::Hypervisor,backup-gateway:hypervisor,
AWS::Batch::JobDefinition,batch:job-definition,aws_batch_job_definition
AWS::Batch::SchedulingPolicy,batch:scheduling-policy,aws_batch_scheduling_policy
AWS::Batch::ConsumableResource,batch:consumable-resource,
AWS::Batch::ComputeEnvironment,batch:compute-environment,aws_batch_compute_environment
AWS::Batch::JobQueue,batch:job-queue,aws_batch_job_queue
AWS::BCMDataExports::Export,bcm-data-exports:export,aws_bcmdataexports_export
AWS::Bedrock::Flow,bedrock:flow,aws_bedrockagent_flow
AWS::Bedrock::KnowledgeBase,bedrock:knowledge-base,aws_bedrockagent_knowledge_base
AWS::Bedrock::AgentAlias,bedrock:agent-alias,aws_bedrockagent_agent_alias
AWS::Bedrock::ApplicationInferenceProfile,bedrock:application-inference-profile,
AWS::Bedrock::Guardrail,bedrock:guardrail,aws_bedrock_guardrail
AWS::Bedrock::Agent,bedrock:agent,aws_bedrockagent_agent
AWS::Bedrock::Prompt,bedrock:prompt,aws_bedrockagent_prompt
AWS::Bedrock::DataAutomationProject,bedrock:data-automation-project,
AWS::Bedrock::Blueprint,bedrock:blueprint,
AWS::Budgets::BudgetsAction,budgets:budget/action,aws_budgets_budget_action
AWS::Budgets::Budget,budgets:budget,aws_budgets_budget
AWS::Cassandra::Keyspace,cassandra:keyspace,aws_keyspaces_keyspace
AWS::ServiceCatalog::Portfolio,catalog:portfolio,aws_servicecatalog_portfolio
AWS::CE::AnomalyMonitor,ce:anomalymonitor,aws_ce_anomaly_monitor
AWS::CE::CostCategory,ce:costcategory,aws_ce_cost_category
AWS::CE::AnomalySubscription,ce:anomalysubscription,aws_ce_anomaly_subscription
AWS::CleanRooms::ConfiguredTable,cleanrooms:configuredtable,aws_cleanrooms_configured_table
AWS::CleanRoomsML::TrainingDataset,cleanrooms-ml:training-dataset,
AWS::CloudFormation::Stack,cloudformation:stack,aws_cloudformation_stack
AWS::CloudFormation::StackSet,cloudformation:stackset,aws_cloudformation_stack_set
AWS::CloudFront::ConnectionGroup,cloudfront:connection-group,
AWS::CloudFront::Distribution,cloudfront:distribution,aws_cloudfront_distribution
AWS::CloudTrail::Dashboard,cloudtrail:dashboard,
AWS::CloudTrail::EventDataStore,cloudtrail:eventdatastore,aws_cloudtrail_event_data_store
AWS::CloudTrail::Trail,cloudtrail:trail,aws_cloudtrail
AWS::CloudTrail::Channel,cloudtrail:channel,
AWS::CloudWatch::MetricStream,cloudwatch:metric-stream,aws_cloudwatch_metric_stream
AWS::CloudWatch::InsightRule,cloudwatch:insight-rule,
AWS::CloudWatch::Alarm,cloudwatch:alarm,aws_cloudwatch_metric_alarm
AWS::CodeArtifact::Repository,codeartifact:repository,aws_codeartifact_repository
AWS::CodeArtifact::Domain,codeartifact:domain,aws_codeartifact_domain
AWS::CodeBuild::Project,codebuild:project,aws_codebuild_project
AWS::CodeBuild::ReportGroup,codebuild:report-group,aws_codebuild_report_group
AWS::CodeCommit::Repository,codecommit:repository,aws_codecommit_repository
AWS::CodeConnections::Connection,codeconnections:connection,aws_codeconnections_connection
AWS::CodeDeploy::Application,codedeploy:application,aws_codedeploy_app
AWS::CodeDeploy::DeploymentConfig,codedeploy:deploymentconfig,aws_codedeploy_deployment_config
AWS::CodeGuruProfiler::ProfilingGroup,codeguru-profiler:profilingGroup,aws_codeguruprofiler_profiling_group
AWS::CodeGuruReviewer::RepositoryAssociation,codeguru-reviewer:association,aws_codegurureviewer_repository_association
AWS::CodePipeline::Webhook,codepipeline:webhook,aws_codepipeline_webhook
AWS::CodePipeline::Pipeline,codepipeline:pipeline,aws_codepipeline
AWS::CodePipeline::CustomActionType,codepipeline:actiontype,aws_codepipeline_custom_action_type
AWS::CodeStarConnections::RepositoryLink,codestar-connections:repository-link,
AWS::CodeStarConnections::Connection,codestar-connections:connection,aws_codestarconnections_connection
AWS::CodeStarNotifications::NotificationRule,codestar-notifications:notificationrule,aws_codestarnotifications_notification_rule
AWS::Cognito::IdentityPool,cognito-identity:identitypool,aws_cognito_identity_pool
AWS::Cognito::UserPool,cognito-idp:userpool,aws_cognito_user_pool
AWS::Comprehend::DocumentClassifier,comprehend:document-classifier,aws_comprehend_document_classifier
AWS::Comprehend::Flywheel,comprehend:flywheel,
AWS::Config::ConfigurationAggregator,config:config-aggregator,aws_config_configuration_aggregator
AWS::Config::ConfigRule,config:config-rule,aws_config_config_rule
AWS::Config::AggregationAuthorization,config:aggregation-authorization,aws_config_aggregate_authorization
AWS::Config::ConformancePack,config:conformance-pack,aws_config_conformance_pack
AWS::Config::StoredQuery,config:stored-query,
AWS::Connect::IntegrationAssociation,connect:instance/integration-association,
AWS::Connect::Instance,connect:instance,aws_connect_instance
AWS::Connect::TaskTemplate,connect:instance/task-template,
AWS::Connect::SecurityProfile,connect:instance/security-profile,aws_connect_security_profile
AWS::Connect::EvaluationForm,connect:instance/evaluation-form,
AWS::Connect::Rule,connect:instance/rule,
AWS::Connect::ContactFlow,connect:instance/contact-flow,aws_connect_contact_flow
AWS::Connect::RoutingProfile,connect:instance/routing-profile,aws_connect_routing_profile
AWS::Connect::User,connect:instance/agent,aws_connect_user
AWS::Connect::Prompt,connect:instance/prompt,
AWS::Connect::QuickConnect,connect:instance/transfer-destination,aws_connect_quick_connect
AWS::Connect::ContactFlowModule,connect:instance/flow-module,aws_connect_contact_flow_module
AWS::Connect::Queue,connect:instance/queue,aws_connect_queue
